,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
1,2022-08-07,14:00,Premier League,Matchweek 1,Sun,Home,L,1,2,Brighton,4,0,0,7,12,3,24,15,8,0,0,0,59,11,9,55.0,Match Report
2,2022-08-13,17:30,Premier League,Matchweek 2,Sat,Away,L,0,4,Brentford,4,0,0,15,6,2,21,12,7,0,0,0,43,14,10,58.3,Match Report
3,2022-08-22,20:00,Premier League,Matchweek 3,Mon,Home,W,2,1,Liverpool,3,0,0,11,7,2,7,12,17,0,0,0,54,14,20,41.2,Match Report
4,2022-08-27,12:30,Premier League,Matchweek 4,Sat,Away,W,1,0,Southampton,3,0,0,14,3,1,12,10,8,0,0,0,57,26,19,57.8,Match Report
5,2022-09-01,20:00,Premier League,Matchweek 5,Thu,Away,W,1,0,Leicester City,3,0,0,15,7,2,12,8,8,0,0,0,72,16,18,47.1,Match Report
6,2022-09-04,16:30,Premier League,Matchweek 6,Sun,Home,W,3,1,Arsenal,3,0,0,13,8,4,6,7,8,0,0,0,44,10,3,76.9,Match Report
7,2022-09-08,20:00,Europa Lg,Group stage,Thu,Home,L,0,1,es Real Sociedad,3,0,0,8,16,4,15,8,10,0,1,0,53,12,15,44.4,Match Report
8,2022-09-15,19:45,Europa Lg,Group stage,Thu,Away,W,2,0,md Sheriff Tiraspol,0,0,0,12,12,1,13,6,9,1,0,0,44,9,7,56.3,Match Report
9,2022-10-02,14:00,Premier League,Matchweek 9,Sun,Away,L,3,6,Manchester City,3,0,0,9,3,0,4,7,5,1,0,0,42,6,10,37.5,Match Report
10,2022-10-06,19:45,Europa Lg,Group stage,Thu,Away,W,3,2,cy AC Omonia,2,0,0,8,8,2,15,4,9,0,0,0,51,17,5,77.3,Match Report
11,2022-10-09,19:00,Premier League,Matchweek 10,Sun,Away,W,2,1,Everton,1,0,0,13,7,4,9,5,6,0,0,0,64,17,13,56.7,Match Report
12,2022-10-13,20:00,Europa Lg,Group stage,Thu,Home,W,1,0,cy AC Omonia,0,0,0,8,7,1,29,8,7,0,0,0,64,14,8,63.6,Match Report
13,2022-10-16,14:00,Premier League,Matchweek 11,Sun,Home,D,0,0,Newcastle Utd,3,0,0,13,11,2,20,10,11,0,0,0,53,6,13,31.6,Match Report
14,2022-10-19,20:15,Premier League,Matchweek 12,Wed,Home,W,2,0,Tottenham,1,0,0,7,7,4,12,7,12,0,0,0,58,11,7,61.1,Match Report
15,2022-10-22,17:30,Premier League,Matchweek 13,Sat,Away,D,1,1,Chelsea,4,0,0,10,8,3,9,12,8,0,1,0,51,16,14,53.3,Match Report
16,2022-10-27,20:00,Europa Lg,Group stage,Thu,Home,W,3,0,md Sheriff Tiraspol,1,0,0,6,9,1,29,1,7,0,0,0,51,6,10,37.5,Match Report
17,2022-10-30,16:15,Premier League,Matchweek 14,Sun,Home,W,1,0,West Ham,1,0,0,12,10,1,18,7,15,0,0,0,55,16,14,53.3,Match Report
18,2022-11-03,18:45,Europa Lg,Group stage,Thu,Away,W,1,0,es Real Sociedad,3,0,0,11,5,2,11,21,4,0,0,0,51,25,23,52.1,Match Report
19,2022-11-06,14:00,Premier League,Matchweek 15,Sun,Away,L,1,3,Aston Villa,3,0,0,12,3,3,23,9,10,0,0,0,36,8,8,50.0,Match Report
20,2022-11-10,20:00,EFL Cup,Third round,Thu,Home,W,4,2,Aston Villa,3,0,0,13,11,8,14,3,10,,,1,,,,,Match Report
21,2022-11-13,16:30,Premier League,Matchweek 16,Sun,Away,W,2,1,Fulham,1,0,0,10,8,2,13,8,7,0,0,0,58,17,11,60.7,Match Report
22,2022-12-21,20:00,EFL Cup,Fourth round,Wed,Home,W,2,0,Burnley,2,0,0,6,8,3,10,3,13,,,0,,,,,Match Report
23,2022-12-27,20:00,Premier League,Matchweek 17,Tue,Home,W,3,0,Nott'ham Forest,3,0,0,13,4,1,16,14,9,0,0,0,56,7,6,53.8,Match Report
24,2022-12-31,12:30,Premier League,Matchweek 18,Sat,Away,W,1,0,Wolves,3,0,0,11,11,2,13,15,5,0,0,0,63,10,7,58.8,Match Report
25,2023-01-03,20:00,Premier League,Matchweek 19,Tue,Home,W,3,0,Bournemouth,0,0,0,13,7,0,18,10,6,0,0,0,63,6,9,40.0,Match Report
26,2023-01-06,20:00,FA Cup,Third round proper,Fri,Home,W,3,1,Everton,1,0,0,10,8,0,14,11,10,,,0,,,,,Match Report
27,2023-01-10,20:00,EFL Cup,Quarter-finals,Tue,Home,W,3,0,Charlton Ath,2,0,0,11,6,5,11,7,7,,,0,,,,,Match Report
28,2023-01-14,12:30,Premier League,Matchweek 20,Sat,Home,W,2,1,Manchester City,3,0,0,15,5,6,4,6,8,0,0,0,46,9,10,47.4,Match Report
29,2023-01-18,20:00,Premier League,Matchweek 7,Wed,Away,D,1,1,Crystal Palace,2,0,0,10,8,0,15,12,18,0,0,0,91,9,13,40.9,Match Report
30,2023-01-22,16:30,Premier League,Matchweek 21,Sun,Away,L,2,3,Arsenal,2,0,0,9,8,4,9,16,11,0,0,0,57,16,11,59.3,Match Report
31,2023-01-25,20:00,EFL Cup,Semi-finals,Wed,Away,W,3,0,Nott'ham Forest,1,0,0,11,5,0,14,7,13,,,0,,,,,Match Report
32,2023-01-28,20:00,FA Cup,Fourth round proper,Sat,Home,W,3,1,Reading,1,0,0,10,8,3,22,4,12,,,0,,,,,Match Report
33,2023-02-01,20:00,EFL Cup,Semi-finals,Wed,Home,W,2,0,Nott'ham Forest,2,0,0,11,10,1,18,7,9,,,0,,,,,Match Report
34,2023-02-04,15:00,Premier League,Matchweek 22,Sat,Home,W,2,1,Crystal Palace,1,1,0,9,8,1,17,5,12,0,0,0,49,11,8,57.9,Match Report
35,2023-02-08,20:00,Premier League,Matchweek 8,Wed,Home,D,2,2,Leeds United,1,0,0,7,11,1,30,8,11,0,0,1,69,13,14,48.1,Match Report
36,2023-02-12,14:00,Premier League,Matchweek 23,Sun,Away,W,2,0,Leeds United,1,0,0,13,10,3,8,6,21,0,0,0,67,12,16,42.9,Match Report
37,2023-02-16,18:45,Europa Lg,Knockout round play-offs,Thu,Away,D,2,2,es Barcelona,3,0,0,12,10,1,13,7,12,0,0,0,56,7,12,36.8,Match Report
38,2023-02-19,14:00,Premier League,Matchweek 24,Sun,Home,W,3,0,Leicester City,0,0,0,9,8,0,18,10,16,0,0,0,70,16,7,69.6,Match Report
39,2023-02-23,20:00,Europa Lg,Knockout round play-offs,Thu,Home,W,2,1,es Barcelona,3,0,0,13,11,1,8,8,10,0,1,0,58,10,11,47.6,Match Report
40,2023-02-26,16:30,EFL Cup,Final,Sun,Home,W,2,0,Newcastle Utd,6,0,0,12,8,0,6,12,18,,,0,,,,,Match Report
41,2023-03-01,19:45,FA Cup,Fifth round proper,Wed,Home,W,3,1,West Ham,2,0,0,12,5,2,19,15,13,,,0,,,,,Match Report
42,2023-03-05,16:30,Premier League,Matchweek 26,Sun,Away,L,0,7,Liverpool,3,0,0,14,12,4,18,9,10,0,0,0,53,12,9,57.1,Match Report
43,2023-03-09,20:00,Europa Lg,Round of 16,Thu,Home,W,4,1,es Betis,2,0,0,15,6,3,24,11,12,0,0,0,74,13,8,61.9,Match Report
44,2023-03-12,14:00,Premier League,Matchweek 27,Sun,Home,D,0,0,Southampton,2,1,0,12,9,0,19,3,8,0,0,0,54,11,6,64.7,Match Report
45,2023-03-16,18:45,Europa Lg,Round of 16,Thu,Away,W,1,0,es Betis,1,0,0,12,15,6,11,12,15,0,0,0,65,11,7,61.1,Match Report
46,2023-03-19,16:30,FA Cup,Quarter-finals,Sun,Home,W,3,1,Fulham,1,0,0,10,6,1,13,5,10,,,0,,,,,Match Report
47,2023-04-02,16:30,Premier League,Matchweek 29,Sun,Away,L,0,2,Newcastle Utd,0,0,0,12,8,0,12,9,12,0,0,0,59,8,14,36.4,Match Report
48,2023-04-05,20:00,Premier League,Matchweek 25,Wed,Home,W,1,0,Brentford,3,0,0,9,13,2,18,8,11,0,0,0,47,23,17,57.5,Match Report
49,2023-04-08,12:30,Premier League,Matchweek 30,Sat,Home,W,2,0,Everton,0,0,0,10,9,3,9,7,6,0,0,0,68,14,14,50.0,Match Report
50,2023-04-13,20:00,Europa Lg,Quarter-finals,Thu,Home,D,2,2,es Sevilla,3,0,0,13,11,2,12,8,13,0,0,2,60,8,20,28.6,Match Report
51,2023-04-16,16:30,Premier League,Matchweek 31,Sun,Away,W,2,0,Nott'ham Forest,2,0,0,9,8,3,19,12,10,0,0,0,63,15,13,53.6,Match Report
52,2023-04-20,21:00,Europa Lg,Quarter-finals,Thu,Away,L,0,3,es Sevilla,3,0,0,12,14,0,13,6,13,0,0,0,51,22,13,62.9,Match Report
53,2023-04-23,16:30,FA Cup,Semi-finals,Sun,Neutral,D,0 (7),0 (6),Brighton,3,0,0,13,17,1,15,15,11,,,0,,,,,Match Report
54,2023-04-27,20:15,Premier League,Matchweek 33,Thu,Away,D,2,2,Tottenham,2,0,0,7,8,3,19,14,13,0,0,0,52,11,12,47.8,Match Report
55,2023-04-30,14:00,Premier League,Matchweek 34,Sun,Home,W,1,0,Aston Villa,2,0,0,16,7,7,6,12,11,0,0,0,64,6,6,50.0,Match Report
56,2023-05-04,20:00,Premier League,Matchweek 28,Thu,Away,L,0,1,Brighton,4,0,0,14,9,2,6,6,13,0,1,0,60,7,12,36.8,Match Report
57,2023-05-07,19:00,Premier League,Matchweek 35,Sun,Away,L,0,1,West Ham,2,0,0,9,3,1,8,10,7,0,0,0,52,15,17,46.9,Match Report
58,2023-05-13,15:00,Premier League,Matchweek 36,Sat,Home,W,2,0,Wolves,3,0,0,9,9,0,15,8,8,0,0,0,63,16,14,53.3,Match Report
59,,,,,,,38-9-11,100,59,,124,2,0,640,491,124,836,518,603,2,4,4,2690,589,543,52.0,
